COUNTRY_DISPLAY,YEAR_DISPLAY,STARTYEAR,ENDYEAR,GHO_DISPLAY,DIMENSION_NAME,Value_num
Bhutan,1991,1991,1991,"Mean Non-HDL cholesterol, age-standardized",Female,3
Bhutan,1989,1989,1989,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Beer,0.31
Bhutan,2020,2020,2020,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,2.7
Bhutan,2010,2010,2010,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Male,9
Bhutan,2012,2012,2012,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Male,49
Bhutan,2019,2019,2019,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,16
Bhutan,2002,2002,2002,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,6.7
Bhutan,1983,1983,1983,"Mean HDL cholesterol, crude",Male,1.2
Bhutan,2005,2005,2005,Insufficiently active (crude estimate),Female,84.8
Bhutan,1997,1997,1997,"Mean Non-HDL cholesterol, age-standardized",Female,3.1
Bhutan,2006,2006,2006,Insufficiently active (crude estimate),Both sexes,83.7
Bhutan,1990,1990,1990,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Female,10.1
Bhutan,2002,2002,2002,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,2.2
Bhutan,2017,2017,2017,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,3.7
Bhutan,2012,2012,2012,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",Both sexes,34
Bhutan,2010,2010,2010,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,2.8
Bhutan,1993,1993,1993,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",Both sexes,1.9
Bhutan,1985,1985,1985,"Mean total cholesterol,  age-standardized",Both sexes,4.2
Bhutan,2021,2021,2021,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Both sexes,46
Bhutan,1993,1993,1993,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,19.5
Bhutan,2003,2003,2003,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Male,60
Bhutan,2021,2021,2021,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,5.2
Bhutan,2019,2019,2019,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,6.3
Bhutan,1982,1982,1982,"Mean HDL cholesterol, age-standardized",Both sexes,1.2
Bhutan,1996,1996,1996,"Prevalence of diabetes, crude",Both sexes,8.7
Bhutan,2000,2000,2000,"Diabetes treatment coverage, age-standardized",Male,13.8
Bhutan,2010,2010,2010,"Prevalence of diabetes, crude",Male,10.8
Bhutan,1990,1990,1990,"Prevalence of diabetes, age-standardized",Both sexes,9.2
Bhutan,2000,2000,2000,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",Both sexes,4.5
Bhutan,1997,1997,1997,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Both sexes,14.2
Bhutan,1999,1999,1999,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Female,12.3
Bhutan,2007,2007,2007,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",Both sexes,4.5
Bhutan,2001,2001,2001,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Both sexes,3.6
Bhutan,2009,2009,2009,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,9.8
Bhutan,2012,2012,2012,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Female,12.9
Bhutan,2018,2018,2018,"Mean Non-HDL cholesterol, age-standardized",Male,3
Bhutan,2000,2000,2000,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),Male,7.5
Bhutan,1991,1991,1991,"Prevalence of diabetes, crude",Female,11.7
Bhutan,2015,2015,2015,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,9.6
